Name,Gender,Location
CIGAAL,m,Somali
CIISE,m,Somali
CILMI,m,Somali
COLOOW,m,Somali
CREDONIA,f,Eastern African
CUMAR,m,Somali
DAAHIR,m,Somali
DAA'UUD,m,Somali
DAGM,m,Amharic
DAGMAWIT,f,Eastern African
DAHIR,m,Somali
DAI,m,Swahili
DALILI,f,Swahili (Rare)
DAMAMLI,f,Eastern African
DAMMENECH,f,Amharic
DANIACHEW,m,Amharic
DANIAT,f,Tigrinya
DATIVA,f,Eastern African
DATIVE,f,French (African)
DEEQA,f,Somali
DEFERE,m,Amharic
DEGAWAYNA,m,Somali
DEGINET,m,Amharic
DEGMO,f,Somali
DELNESAHU,m,Amharic
DEMERE,m,Ethiopian
DEMETERIYA,f,Eastern African
DEMISSIE,m,Amharic
DENEKE,m,Amharic
DERARTU,f,Ethiopian
DEREJE,m,Eastern African
DERESSA,m,Eastern African
DERESSE,m,Ethiopian
DESITA,f,Amharic
DEUS,m,Eastern African
DHIIRAAN,m,Somali
DIIRIYE,m,Somali
DIKAMELLESH,f,Amharic
DINKINESH,f,Amharic
DIRES,m,Amharic
DIRIC,m,Somali
DULANI,m,Yao
DUMA,m,Swahili
DUNIA,m,Swahili
EBONG,m,Luo
EFREM,m,Amharic
EGAL,m,Somali
EJEGAYEHU,f,Ethiopian
EJIGAYEHU,f,Amharic
EJJEGAYYAHU,f,Amharic
EKUNDU,m,Swahili
ELBETEL,f,Ethiopian
ELIZABETI,f,Amharic
ELLENI,f,Amharic
ELSABET,f,Amharic
ELYAS,m,Amharic
EMEBET,f,Ethiopian
EMIYA,f,Amharic
ENDALKACHEW,m,Amharic
ENKU,f,Amharic
ENZI,f,Swahili
ERMIAS,m,Ethiopian
ʿESATO,f,Eastern African
ESITALA,f,Nyakyusa
ESSET-AB,f,Amharic
ESTIFANOS,m,Amharic
ESTOMIHI,m,Eastern African
ETANA,f,Eastern African
EYASU,m,Amharic
EYOB,m,Amharic
FAADUMO,f,Somali
FAARAX,m,Somali
FAARUUQ,m,Somali
FADUMA,f,Eastern African
TESSAMA,m,Amharic
TESSEMA,m,Amharic
TEWOLDE,m,Ethiopian
TIGIST,f,Amharic
TIGISTI,f,Tigrinya
TIIFU,m,Ganda
TIKI,f,Ethiopian
TIMNIT,f,"Ethiopian (Expatriate, ?)"
TIRFI,f,Amharic
TIRUNEH,m,Amharic
TIRUNESH,f,Ethiopian
TISA,m,Swahili
TISSA,f,Somali
TIZAZU,m,Amharic
TIZITA,f,Eastern African
TOTIT,f,Amharic
TSEDAY,f,Ethiopian
TUERE,f,Swahili (Rare)
TUFANI,f,Swahili
TUKUFU,m,Swahili
TUKUSWIGA,m,Nyakyusa
TUMAI,f,Eastern African
TUMAS,m,Arabic
TUMBOPILE,f,Nyakyusa
TUMWIMBILEGE,f,Nyakyusa
TUNGIBWAGA,m,Nyakyusa
UBAX,f,Somali
UBENA,m,Eastern African
UDEERA,f,Swahili
UGBAAD,f,Somali
UGBAD,f,Somali
UHURU,m,Swahili
UMANDE,f,Swahili
UMOJA,f,Swahili
UNDULE,m,Nyakyusa
UNETU,m,Amharic
URGESSA,m,Ethiopian
URSALA,f,Eastern African
USHINDI,m,Swahili
USIKU,m,Swahili
USSEN,m,Amharic
WAABERI,m,Somali
WACUKA,f,Kikuyu
WAGAYE,f,Amharic
WAITHERERO,f,Kikuyu
WAKASHA,f,Eastern African (?)
WAKONTA,f,Eastern African
WANGŨ,f,Kikuyu
WANHIJA,f,Kaguru
WANJA,f,Kikuyu
WANJĨRA,f,Kikuyu
WANJIRU,f,Kikuyu
WARI,m,Amharic
WARIDI,f,Swahili
WARIGIA,f,Kikuyu
WARIS,f,African
WARSAME,m,Somali
WARSAN,f,Somali
WARŨGŨRŨ,f,Kikuyu
WASEME,f,Swahili
WEHELIYE,m,Somali
WEREDE,m,Amharic
WERIK'I,f,Eastern African
WETATI,f,Amharic
WETUKIS,m,Ethiopian
WIBI,f,Amharic
WIDDINEH,m,Amharic
WIDI,f,Amharic
WIHA,f,Amharic
WINTA,f,Amharic
WODAJE,m,Amharic
WONDIM,m,Amharic
WONDIMAGEGNENU,m,Amharic
WOUBISHET,m,Amharic
WUBETE,f,Ethiopian
XAABSADE,m,Somali
XAADSAN,f,Somali
XAAJI,m,Somali
XALANE,m,Somali
XALIIMO,f,Somali
XALWO,f,Somali
XAMIID,m,Somali
XANAAN,f,Somali
XAREED,m,Somali
XASNA,f,Somali
XIDIG,m,Somali
XIRSI,m,Somali
XUSEEN,m,Somali
YAASMIIN,f,Somali
YACOB,m,Ethiopian
YACQUUB,m,Somali
YAHYE,m,Somali
YAKOBO,m,Swahili
YÄM'ATA,m,Eastern African
YAR,f,Dinka
YASHIMMABET,f,Amharic
YASMIIN,f,Somali
YASO,f,Eastern African
YASOY,m,Eastern African
YAXYE,m,Somali
YAYEHIRAD,f,Amharic
YEALEM TSEHAY,f,Amharic
YELMA,m,Amharic
YEMAR,m,Amharic
YENASU,m,Amharic
YERGU,m,Amharic
YESHI,f,Amharic
YESHIEMEBET,f,Amharic
YESINE,f,Amharic
MATEYAS,m,Amharic
YETBARAK,m,Amharic
YEWONDWOSSEN,m,Amharic
