Name,Gender,Location
LEENSAA,f,Ethiopian
LEGESE,m,Amharic
LEGESSE,m,Eastern African
LELIFTU,f,Eastern African
LELU,f,Chinese (Rare)
LEMLEM,f,Amharic
LEOR,m,Ethiopian
LEYLO,f,Somali
LIBAN,m,Arabic
LIBIN,f,Somali
LIHUTI,m,Nyakyusa
LIIBAAN,m,Somali
LIKANOS,m,African
LINDIMA,m,Nyakyusa
LIVIN,m,Eastern African (?)
LIYA,f,Eastern African
LODYA,f,Ganda
LOOYAAN,m,Somali
LUGANO,m,Kaguru
LULIA,f,Tigrinya
LUSAJO,m,Nyakyusa
LUSEKELO,m,Nyakyusa
LUTALO,m,Ganda
LUTI,f,Nyakyusa
LUUL,m,Somali
LUULA,f,Somali
MABIOR,m,Dinka
MABOK,m,Dinka
MABRATU,m,Amharic
MACHAR,m,Dinka
MADAHA,f,Swahili
MADHIL,m,Dinka
MADIN,m,Dinka
MADINI,f,Swahili
MADIT,m,Dinka
MAGAN,m,Somali
MAGAYA,f,Kaguru
MAGOT,m,Dinka
MAHAD,m,Somali
MAHAMED,m,Arabic
MAHAMOUDOU,m,Eastern African
MAHREM,m,African
MAHUNDE,f,Tooro
MAISHA,f,Swahili (Modern)
MAIYAH,f,Eastern African
MAJANI,f,Swahili
MAJOK,m,Dinka
MAKARI,m,Amharic
MAKER,m,Dinka
MAKINI,m,Swahili
MAKOI,m,Dinka
MAKONNEN,m,Eastern African
MALEK,m,Dinka
MALIJA,f,Nyakyusa
MALITH,m,Dinka
MALIZA,f,Swahili
MAMO,m,Ethiopian
MANUTE,m,Dinka
MAQDIS,f,Somali
MARAGARITA,f,Haya
MARIAL,m,Dinka
MARIAMU,f,Swahili
MARINI,f,Swahili
MARIYAMU,f,Haya
MARU,m,Amharic
MARYAMA,f,Arabic (Maghrebi)
MARYE,f,Amharic
MASFIN,m,Ethiopian
MASINGISA,m,Kaguru
MATAAN,m,Somali
MATETE,m,Kaguru
MATEWOS,m,Amharic
